stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Sgonico-Zgonik;2000;1;1;0;-1.2;1.5;6.6;23;52;80;7;29;41;7709;990
Sgonico-Zgonik;2000;1;2;0;-2.8;0.7;6.9;28;67;88;5;13;260;7156;991.8
Sgonico-Zgonik;2000;1;3;0;-4.5;0.1;6.6;42;81;99;5;17;112;6040;993.3
Sgonico-Zgonik;2000;1;4;0.2;-4.3;0.1;5.9;60;88;99;5;16;96;7739;987.7
Sgonico-Zgonik;2000;1;5;0;-3.1;2.6;10.7;39;69;87;4;13;266;7806;987
Sgonico-Zgonik;2000;1;6;0;-1.4;3.1;10.2;40;71;90;4;13;195;7514;987.6
Sgonico-Zgonik;2000;1;7;0;1.7;7.2;12.5;32;53;79;13;39;72;7823;988.9
Sgonico-Zgonik;2000;1;8;0;0.6;5.6;11;40;64;97;10;30;80;7817;989.1
Sgonico-Zgonik;2000;1;9;0;0.9;4.7;7.4;67;83;99;4;16;114;1911;988.6
Sgonico-Zgonik;2000;1;10;0;-0.5;2.6;5.2;55;72;99;19;43;85;4834;993.1
Sgonico-Zgonik;2000;1;11;0;-2.9;2.3;6.2;51;63;75;14;51;56;6594;998.1
Sgonico-Zgonik;2000;1;12;0;-1.9;0.7;4.6;43;57;69;16;53;64;8363;996.4
Sgonico-Zgonik;2000;1;13;0;-2.4;0.6;5.2;41;63;75;8;27;25;5919;990.7
Sgonico-Zgonik;2000;1;14;0;0.4;4.8;8.3;56;72;95;6;20;84;2635;987.9
Sgonico-Zgonik;2000;1;15;0;0;3.7;8.4;50;67;97;14;44;66;8533;988.1
Sgonico-Zgonik;2000;1;16;0;-1.3;0.7;4.7;42;59;73;23;49;48;7818;990.5
Sgonico-Zgonik;2000;1;17;0;-5.9;-0.2;3.6;59;76;99;5;34;32;5636;982.4
Sgonico-Zgonik;2000;1;18;0;-5;2.4;10.1;25;74;99;10;52;51;4498;970.4
Sgonico-Zgonik;2000;1;19;0;-2.5;3.4;8.4;17;39;80;8;44;48;9243;982.7
Sgonico-Zgonik;2000;1;20;0;-3.2;2.1;7.7;12;38;77;5;17;90;6969;988.8
Sgonico-Zgonik;2000;1;21;0;-3.4;1.8;6.9;59;83;99;5;23;79;7603;978.7
Sgonico-Zgonik;2000;1;22;0;-2.3;-0.6;2.4;51;74;98;22;45;53;1118;976.8
Sgonico-Zgonik;2000;1;23;0.8;-2;1.6;5.3;44;62;78;21;45;63;7849;969
Sgonico-Zgonik;2000;1;24;0;-5.9;-2.5;0.2;10;35;66;21;53;27;9888;979.9
Sgonico-Zgonik;2000;1;25;0;-7.4;-4.2;0.5;12;29;46;13;28;60;10385;990.8
Sgonico-Zgonik;2000;1;26;0;-10.4;-4.3;1.6;16;47;82;6;23;45;10273;994.5
Sgonico-Zgonik;2000;1;27;0;-8.9;-2.1;4.6;33;77;99;6;16;191;9862;994
Sgonico-Zgonik;2000;1;28;0;-2.5;1.8;6.6;64;85;99;6;17;107;5945;988.4
Sgonico-Zgonik;2000;1;29;0;1.4;2.6;4.1;74;89;99;4;16;156;3817;982.9
Sgonico-Zgonik;2000;1;30;0;-1;2.9;6.2;81;94;99;4;16;201;5693;981.8
Sgonico-Zgonik;2000;1;31;0.2;0.8;4.9;6.8;98;99;99;4;13;112;1296;989.4
Sgonico-Zgonik;2000;2;1;0.2;2.5;6.5;9;99;99;99;4;13;192;1631;992.5
Sgonico-Zgonik;2000;2;2;0.8;4;5.8;7.3;99;99;99;3;12;115;1005;986.4
Sgonico-Zgonik;2000;2;3;0.2;3.3;7.2;10.2;39;86;99;7;29;54;8227;989.2
Sgonico-Zgonik;2000;2;4;0;-1.3;5.8;11.3;21;58;99;10;25;78;11121;1000.4
Sgonico-Zgonik;2000;2;5;0;-1.9;2.9;8.8;75;94;99;4;12;228;9964;997.6
Sgonico-Zgonik;2000;2;6;0.2;-1.4;2.5;10.3;70;95;99;3;10;290;10483;992.9
Sgonico-Zgonik;2000;2;7;0.4;-1.7;2.8;5.2;99;99;99;4;17;154;1828;988.4
Sgonico-Zgonik;2000;2;8;1.6;4.3;5.4;6.3;99;99;99;3;10;232;659;984.1
Sgonico-Zgonik;2000;2;9;6.6;4.2;6.5;8.1;27;82;99;6;37;21;2413;981.1
Sgonico-Zgonik;2000;2;10;0;-2.5;5.3;11.5;17;45;78;9;26;55;12285;989.2
Sgonico-Zgonik;2000;2;11;0;1.2;7;12.1;15;44;72;14;55;49;8737;988.2
Sgonico-Zgonik;2000;2;12;0;2.3;5.8;8.3;53;63;79;18;46;52;5708;988
Sgonico-Zgonik;2000;2;13;0;-0.8;5.6;13.5;23;65;99;7;26;52;11936;985.7
Sgonico-Zgonik;2000;2;14;0;-1.6;5.4;13.1;35;66;99;8;26;67;12650;984
Sgonico-Zgonik;2000;2;15;0;2.9;6.3;11.1;39;64;92;10;32;67;10634;983.7
Sgonico-Zgonik;2000;2;16;15.8;2.2;6.4;7.9;74;93;99;9;49;31;567;972
Sgonico-Zgonik;2000;2;17;2.8;-2.6;2.9;6.9;65;85;99;9;26;11;13805;970
Sgonico-Zgonik;2000;2;18;0;-3.8;2;7.5;23;68;99;6;15;260;10410;977.3
Sgonico-Zgonik;2000;2;19;0;-0.5;4.8;10;59;81;99;7;23;123;5304;973.1
Sgonico-Zgonik;2000;2;20;0.2;-2.2;6.2;12.3;20;49;99;12;30;49;11802;978.2
Sgonico-Zgonik;2000;2;21;0;0.9;4.7;9.2;12;33;62;14;32;95;11481;988.1
Sgonico-Zgonik;2000;2;22;0;-3.2;2;7.3;18;38;68;9;30;79;12894;989.9
Sgonico-Zgonik;2000;2;23;0;-2.7;1.9;7.8;26;50;78;7;24;70;14736;989.8
Sgonico-Zgonik;2000;2;24;0;-2.9;2.6;9.2;26;60;84;5;18;228;14300;993.3
Sgonico-Zgonik;2000;2;25;0;0.8;5.1;9.4;20;67;94;5;21;207;12095;992.5
Sgonico-Zgonik;2000;2;26;0;3.6;7.5;9.9;60;68;83;5;24;120;2782;994.8
Sgonico-Zgonik;2000;2;27;0;1.3;8.2;14.3;36;62;90;6;18;92;14849;995.5
Sgonico-Zgonik;2000;2;28;0;1.1;6.6;13.4;41;68;99;6;23;89;14635;996.3
Sgonico-Zgonik;2000;2;29;0.2;-0.7;6.3;10.9;70;89;99;8;33;152;9268;990.4
Sgonico-Zgonik;2000;3;1;85.8;5.9;7.5;9.1;75;96;99;20;45;143;640;973.2
Sgonico-Zgonik;2000;3;2;0;4.7;8.3;12.7;12;36;99;14;38;43;14119;977.5
Sgonico-Zgonik;2000;3;3;0;-0.9;5.7;10.2;23;58;99;9;29;79;14395;984.2
Sgonico-Zgonik;2000;3;4;0;5.8;7.5;9.5;58;86;97;11;39;64;1571;978.9
Sgonico-Zgonik;2000;3;5;0;-0.7;4.5;10.1;9;48;88;13;42;48;17745;990.8
Sgonico-Zgonik;2000;3;6;0;-2;3.7;9.2;42;72;98;7;30;243;16865;997.8
Sgonico-Zgonik;2000;3;7;0;-0.1;4.4;10.2;44;83;99;6;21;211;16166;993.2
Sgonico-Zgonik;2000;3;8;0;4;6.9;11.4;71;86;99;5;21;202;11702;990.9
Sgonico-Zgonik;2000;3;9;0;2.9;6.9;12.5;73;92;99;5;24;164;8221;986.2
Sgonico-Zgonik;2000;3;10;0;2.6;10.4;15.8;65;84;99;8;27;56;15857;983.8
Sgonico-Zgonik;2000;3;11;1.8;6;8.4;9.9;65;88;99;7;39;96;2001;982.9
Sgonico-Zgonik;2000;3;12;0;3.8;10.7;17.8;22;72;99;7;25;43;18314;985.4
Sgonico-Zgonik;2000;3;13;0;3.2;9.3;15.3;26;57;88;9;33;96;14509;989
Sgonico-Zgonik;2000;3;14;0;2.2;7.3;11.8;55;87;99;5;15;215;17034;986.9
Sgonico-Zgonik;2000;3;15;0;3.4;9;14.3;39;75;99;13;54;48;8530;981.3
Sgonico-Zgonik;2000;3;16;0;-1.5;5.7;10.4;45;60;90;11;33;62;14977;983.9
Sgonico-Zgonik;2000;3;17;0;2.5;5.7;10.3;62;72;90;9;42;67;10784;981.1
Sgonico-Zgonik;2000;3;18;0;1.9;5.6;10.4;41;66;98;10;26;84;12351;983.4
