stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Talmassons;2008;1;1;0;-5.9;-0.3;7.8;38;72;94;6;17;289;6900;1021.1
Talmassons;2008;1;2;0;-5.9;-0.5;6.4;32;65;90;7;19;83;7105;1020.4
Talmassons;2008;1;3;0.2;-4.1;0.7;3.9;46;66;86;10;23;21;2231;1019.0
Talmassons;2008;1;4;0.8;1.3;3.6;6.6;78;87;93;10;23;26;1846;1022.0
Talmassons;2008;1;5;7.8;3.1;5.2;6.7;81;95;100;6;17;41;617;1020.2
Talmassons;2008;1;6;7.2;5.7;6.9;8.4;96;99;100;4;9;234;1111;1014.4
Talmassons;2008;1;7;0;1.8;6.1;8.1;91;98;100;4;14;28;1469;1019.6
Talmassons;2008;1;8;0;0.5;5.8;14;50;86;100;5;16;54;6775;1023.7
Talmassons;2008;1;9;0;1.0;5;7.5;83;93;100;5;12;51;2022;1023.1
Talmassons;2008;1;10;0;-0.2;4.6;7.8;93;99;100;3;10;348;2351;1024.5
Talmassons;2008;1;11;1.6;4.2;6.1;7.6;93;99;100;4;15;42;773;1020.1
Talmassons;2008;1;12;25.6;7.4;11;12.6;80;94;100;14;40;156;972;1011.2
Talmassons;2008;1;13;6.6;7.3;9.2;10.9;81;93;100;8;22;358;1325;1015.9
Talmassons;2008;1;14;0;3.8;7.3;10.9;78;93;100;6;14;104;3943;1018.7
Talmassons;2008;1;15;1;4.7;7.6;11;76;94;100;5;13;13;3239;1018.2
Talmassons;2008;1;16;18;6.5;8;9.2;96;99;100;9;25;56;1092;1009.6
Talmassons;2008;1;17;47.4;7.5;8.1;8.8;95;97;99;16;33;56;506;1012.2
Talmassons;2008;1;18;0;7.2;8.5;10.4;94;99;100;5;16;190;2187;1021.0
Talmassons;2008;1;19;0;2.1;7.3;9.9;89;98;100;3;7;326;1715;1026.8
Talmassons;2008;1;20;0;2.3;5.9;7.6;86;96;100;5;12;335;2459;1027.2
Talmassons;2008;1;21;0;5.0;6;7.1;89;98;100;4;13;238;1321;1022.3
Talmassons;2008;1;22;0;3.5;6.4;11.9;13;83;100;9;65;350;3721;1012.2
Talmassons;2008;1;23;0;-0.6;5.5;12.1;15;47;85;10;40;333;8546;1027.7
Talmassons;2008;1;24;0;-1.7;3.5;10.6;31;64;95;6;19;33;8234;1030.6
Talmassons;2008;1;25;0;-1.9;4.3;14.1;34;71;97;7;24;98;4147;1032.2
Talmassons;2008;1;26;0;-2.3;3.4;11.5;38;76;99;5;15;14;8666;1031.9
Talmassons;2008;1;27;0;-3.2;1.6;9.3;66;91;100;4;19;137;5877;1021.3
Talmassons;2008;1;28;0;-1.5;4.9;13.4;52;84;100;6;18;262;6684;1026.5
Talmassons;2008;1;29;0;-0.2;4.8;12.6;48;82;100;5;13;217;8265;1027.5
Talmassons;2008;1;30;0.4;-0.5;4.3;6.6;82;97;100;5;17;84;1040;1022.5
Talmassons;2008;1;31;0;1.6;6.4;12.1;63;91;100;3;10;287;6301;1020.3
Talmassons;2008;2;1;0;0.6;4.3;6;99;100;100;4;12;215;1327;1015.7
Talmassons;2008;2;2;14.4;4.5;6.5;8.6;87;98;100;8;33;62;1104;1013.7
Talmassons;2008;2;3;1.8;5.2;6.3;7.7;65;79;95;12;29;54;2148;1022.7
Talmassons;2008;2;4;7.8;6.0;8.2;9.7;91;97;100;9;28;23;2474;1014.6
Talmassons;2008;2;5;11.8;3.6;9.3;14.3;52;82;99;12;37;26;5573;1018.5
Talmassons;2008;2;6;0;1.7;6.2;12;72;93;100;6;18;170;8243;1023.4
Talmassons;2008;2;7;0;0.8;8.2;15.7;11;50;100;12;39;29;10000;1028.3
Talmassons;2008;2;8;0;-2.0;5.1;12.5;12;49;81;6;26;82;10638;1034.2
Talmassons;2008;2;9;0;0.1;6;13.2;24;51;81;10;26;70;10572;1033.3
Talmassons;2008;2;10;0;-1.2;4.9;12.5;30;60;89;9;26;105;10077;1031.8
Talmassons;2008;2;11;0;-2.3;3.8;11.8;29;67;94;6;20;33;10589;1031.5
Talmassons;2008;2;12;0;-2.8;4;12.5;22;57;91;7;22;34;10717;1031.2
Talmassons;2008;2;13;0;-4.5;2.9;12;22;61;97;5;15;293;11471;1032.1
Talmassons;2008;2;14;0;-4.0;2.7;12.7;27;72;97;5;14;243;11517;1028.8
Talmassons;2008;2;15;0;-3.7;3.5;11.4;36;62;97;12;37;99;10814;1026.1
Talmassons;2008;2;16;0;-4.9;1.2;6.1;30;50;87;8;26;108;11468;1035.5
Talmassons;2008;2;17;0;-6.0;-0.7;4.3;26;50;82;6;26;288;12009;1041.3
Talmassons;2008;2;18;0;-6.1;-0.3;7.6;37;72;97;5;18;161;12240;1030.6
Talmassons;2008;2;19;0;-5.8;1.1;9.9;41;79;100;5;16;183;10803;1026.3
Talmassons;2008;2;20;0;-2.0;4.3;8.6;65;83;100;5;17;54;2818;1026.4
Talmassons;2008;2;21;0;-1.9;5.7;11.9;54;85;100;4;15;227;7895;1027.0
Talmassons;2008;2;22;0;-2.0;4.4;12.6;50;86;100;4;15;199;9104;1028.4
