stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Tolmezzo;2018;1;1;20.8;0.7;2.1;3.1;83;95;100;12;29;285;492;-
Tolmezzo;2018;1;2;0;-0.3;2.8;7.7;72;94;100;9;23;297;5609;-
Tolmezzo;2018;1;3;0.2;-1.7;0.9;3.9;81;92;100;8;22;303;2645;-
Tolmezzo;2018;1;4;0;-1.2;1.5;4.7;80;94;100;6;21;298;2936;-
Tolmezzo;2018;1;5;0;0.9;3.2;5.4;80;90;96;10;25;286;869;-
Tolmezzo;2018;1;6;0.8;3.6;4.9;6.2;93;99;100;8;22;288;1182;-
Tolmezzo;2018;1;7;12.4;3.6;5.6;8;87;97;100;10;26;286;1539;-
Tolmezzo;2018;1;8;30.4;5.1;6.3;7.5;100;100;100;9;25;289;944;-
Tolmezzo;2018;1;9;84.8;5.9;7.7;11.6;92;99;100;8;57;131;355;-
Tolmezzo;2018;1;10;1.4;4.4;6.6;9.8;85;97;100;4;12;282;5384;-
Tolmezzo;2018;1;11;0;1.2;4.7;10.9;59;89;100;8;28;274;6666;-
Tolmezzo;2018;1;12;0;0.7;4.9;11.5;40;73;96;11;31;275;7570;-
Tolmezzo;2018;1;13;0;2.2;5;11;51;77;94;7;21;307;5333;-
Tolmezzo;2018;1;14;0;2.4;3.5;5.4;73;88;96;3;15;127;1257;-
Tolmezzo;2018;1;15;0;-0.4;3;5.5;70;85;100;4;24;125;4691;-
Tolmezzo;2018;1;16;0;1.1;2.6;3.7;80;95;100;5;18;290;1556;-
Tolmezzo;2018;1;17;0;0.7;4.3;11;19;68;100;9;60;313;6029;-
Tolmezzo;2018;1;18;0;-1.2;2.2;7.9;38;69;83;8;27;124;8279;-
Tolmezzo;2018;1;19;0;-0.7;2.6;8.4;56;70;83;10;26;290;4642;-
Tolmezzo;2018;1;20;0.2;-2;2.4;8.4;40;73;97;6;25;121;7833;-
Tolmezzo;2018;1;21;0;-0.8;3.9;10.5;23;64;100;8;40;348;6989;-
Tolmezzo;2018;1;22;0;-2.1;2;7.9;32;58;77;6;24;143;8562;-
Tolmezzo;2018;1;23;0;-2.4;3;11.6;44;71;89;6;29;129;8758;-
