stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Trieste Ist. Nautico;2012;1;1;-;-;-;-;-;-;-;6;20;157;-;-
Trieste Ist. Nautico;2012;1;2;-;-;-;-;-;-;-;6;24;152;-;-
Trieste Ist. Nautico;2012;1;3;-;-;-;-;-;-;-;16;87;88;-;-
Trieste Ist. Nautico;2012;1;4;-;-;-;-;-;-;-;5;19;104;-;-
Trieste Ist. Nautico;2012;1;5;-;-;-;-;-;-;-;6;36;316;-;-
Trieste Ist. Nautico;2012;1;6;-;-;-;-;-;-;-;5;20;150;-;-
Trieste Ist. Nautico;2012;1;7;-;-;-;-;-;-;-;6;21;247;-;-
Trieste Ist. Nautico;2012;1;8;-;-;-;-;-;-;-;5;22;208;-;-
Trieste Ist. Nautico;2012;1;9;-;-;-;-;-;-;-;5;19;83;-;-
Trieste Ist. Nautico;2012;1;10;-;-;-;-;-;-;-;9;48;76;-;-
Trieste Ist. Nautico;2012;1;11;-;-;-;-;-;-;-;4;23;96;-;-
Trieste Ist. Nautico;2012;1;12;-;-;-;-;-;-;-;4;16;143;-;-
Trieste Ist. Nautico;2012;1;13;-;-;-;-;-;-;-;6;49;45;-;-
Trieste Ist. Nautico;2012;1;14;-;-;-;-;-;-;-;11;44;28;-;-
Trieste Ist. Nautico;2012;1;15;-;-;-;-;-;-;-;8;30;96;-;-
Trieste Ist. Nautico;2012;1;16;-;-;-;-;-;-;-;12;58;90;-;-
Trieste Ist. Nautico;2012;1;17;-;-;-;-;-;-;-;4;14;283;-;-
Trieste Ist. Nautico;2012;1;18;-;-;-;-;-;-;-;4;19;303;-;-
Trieste Ist. Nautico;2012;1;19;-;-;-;-;-;-;-;4;12;98;-;-
Trieste Ist. Nautico;2012;1;20;-;-;-;-;-;-;-;7;42;102;-;-
Trieste Ist. Nautico;2012;1;21;-;-;-;-;-;-;-;7;30;120;-;-
Trieste Ist. Nautico;2012;1;22;-;-;-;-;-;-;-;5;27;266;-;-
Trieste Ist. Nautico;2012;1;23;-;-;-;-;-;-;-;4;19;340;-;-
