stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Trieste molo F.lli Bandiera;2000;1;1;0;3.3;5.3;7.1;37;50;62;9;28;55;6985;1026.2
Trieste molo F.lli Bandiera;2000;1;2;0;3.1;5.3;7.7;49;60;76;4;14;287;6832;1028.0
Trieste molo F.lli Bandiera;2000;1;3;0;3.1;5.1;7.2;58;70;81;4;12;317;5409;1029.6
Trieste molo F.lli Bandiera;2000;1;4;0;2.6;4.6;6.6;66;79;88;4;10;78;6421;1023.9
Trieste molo F.lli Bandiera;2000;1;5;0;3.3;5.7;8.7;66;76;86;4;16;135;6495;1023.0
Trieste molo F.lli Bandiera;2000;1;6;0;4.3;6.3;9.9;57;80;88;4;12;335;6205;1023.5
Trieste molo F.lli Bandiera;2000;1;7;0;4.9;8.2;11.9;46;72;88;9;35;92;6861;1024.5
Trieste molo F.lli Bandiera;2000;1;8;0;6.9;8.9;12.3;42;61;80;6;24;79;6505;1024.9
Trieste molo F.lli Bandiera;2000;1;9;0;7.1;8.4;9.5;61;76;94;4;10;333;2362;1024.5
Trieste molo F.lli Bandiera;2000;1;10;0;5.1;6.7;9;49;64;82;26;64;56;5142;1028.9
Trieste molo F.lli Bandiera;2000;1;11;0;4.1;5.7;6.9;49;55;63;24;78;51;5888;1034.4
Trieste molo F.lli Bandiera;2000;1;12;0;2.9;4.4;6.1;46;53;59;33;59;56;7782;1032.6
Trieste molo F.lli Bandiera;2000;1;13;0;1.5;4.3;5.9;44;53;59;12;43;62;4846;1027.0
Trieste molo F.lli Bandiera;2000;1;14;0;5.3;7.4;9.7;52;67;86;5;23;31;2605;1023.7
Trieste molo F.lli Bandiera;2000;1;15;0;3.5;7.3;10.5;45;55;73;19;54;75;7645;1023.8
Trieste molo F.lli Bandiera;2000;1;16;0;2.1;4;6.1;43;53;63;36;77;56;7125;1026.6
Trieste molo F.lli Bandiera;2000;1;17;0;1.5;3.9;6.1;47;59;77;7;27;351;5144;1018.5
Trieste molo F.lli Bandiera;2000;1;18;0;2.3;5.6;11.8;31;72;89;15;80;22;3871;1005.6
Trieste molo F.lli Bandiera;2000;1;19;0;5.9;7.9;9.8;24;39;59;12;75;46;8330;1018.4
Trieste molo F.lli Bandiera;2000;1;20;0;4.5;6.5;8.3;23;40;58;6;15;146;6317;1024.9
Trieste molo F.lli Bandiera;2000;1;21;0;4.2;5.8;7.3;58;69;81;7;19;113;7422;1014.5
Trieste molo F.lli Bandiera;2000;1;22;0;0.2;3.1;6.4;43;62;89;23;63;85;1067;1012.5
Trieste molo F.lli Bandiera;2000;1;23;0;1.4;4.4;7.3;46;61;72;44;84;63;7590;1004.0
Trieste molo F.lli Bandiera;2000;1;24;0;-1.6;1.1;2.9;22;41;62;37;76;65;9238;1016.0
Trieste molo F.lli Bandiera;2000;1;25;0;-2.6;-0.6;2.3;25;36;45;19;46;68;10192;1027.7
Trieste molo F.lli Bandiera;2000;1;26;0;-2.4;0.2;2.7;30;42;57;6;27;85;9485;1031.3
Trieste molo F.lli Bandiera;2000;1;27;0;-0.8;2.2;5.2;46;60;76;5;18;228;8838;1030.5
Trieste molo F.lli Bandiera;2000;1;28;0;2.8;4.9;6.9;58;70;86;5;17;133;5703;1024.6
Trieste molo F.lli Bandiera;2000;1;29;0;4.5;5.4;6.3;73;80;91;5;18;319;4092;1019.0
Trieste molo F.lli Bandiera;2000;1;30;0;4.3;6.2;7.3;79;86;92;4;18;272;5880;1017.6
Trieste molo F.lli Bandiera;2000;1;31;0;4.2;6.5;7.8;90;94;99;4;13;308;1386;1025.2
Trieste molo F.lli Bandiera;2000;2;1;0;6.7;7.9;9.9;88;97;99;6;20;249;1154;1028.3
Trieste molo F.lli Bandiera;2000;2;2;0;6.8;7.5;8.3;94;98;99;4;11;328;680;1022.1
Trieste molo F.lli Bandiera;2000;2;3;0.2;4.1;7;9.3;99;99;99;5;18;216;3052;1024.9
Trieste molo F.lli Bandiera;2000;2;4;0;5.3;8.1;10.9;40;72;99;6;21;262;10458;1036.7
Trieste molo F.lli Bandiera;2000;2;5;0;4.7;6.2;7.2;81;91;99;5;13;308;9020;1034.0
Trieste molo F.lli Bandiera;2000;2;6;0;3.7;4.4;5.3;99;99;99;4;11;291;3145;1029.4
Trieste molo F.lli Bandiera;2000;2;7;0;2.6;5.1;7.1;98;99;99;6;17;308;1940;1024.4
Trieste molo F.lli Bandiera;2000;2;8;0.2;6.2;6.9;7.7;99;99;99;4;15;281;990;1019.9
Trieste molo F.lli Bandiera;2000;2;9;5.2;6.8;8.1;11.2;30;81;99;11;48;46;1355;1016.5
Trieste molo F.lli Bandiera;2000;2;10;0;4.5;8.2;11.9;30;50;79;9;27;65;11415;1025.0
Trieste molo F.lli Bandiera;2000;2;11;0;5.6;8.1;11.4;40;63;93;10;49;62;8526;1024.1
Trieste molo F.lli Bandiera;2000;2;12;0;7.9;8.8;10.7;48;57;64;26;53;58;5577;1023.5
Trieste molo F.lli Bandiera;2000;2;13;0;5.9;8.4;11.7;50;67;86;6;28;102;11178;1021.5
Trieste molo F.lli Bandiera;2000;2;14;0;4.7;7.5;10.8;58;75;88;5;19;98;11588;1019.7
Trieste molo F.lli Bandiera;2000;2;15;0;7;8.9;10.4;44;62;83;10;42;66;9962;1019.3
Trieste molo F.lli Bandiera;2000;2;16;5.8;6;8.7;10.5;60;89;99;10;65;67;849;1007.2
Trieste molo F.lli Bandiera;2000;2;17;0.6;5.3;6.5;8.3;53;73;87;11;31;35;12457;1005.5
Trieste molo F.lli Bandiera;2000;2;18;0;3.6;6.3;8.3;36;57;79;6;17;285;9756;1013.1
Trieste molo F.lli Bandiera;2000;2;19;0;6.1;8.6;10.9;49;68;86;8;27;139;4474;1008.3
Trieste molo F.lli Bandiera;2000;2;20;0;4.7;9.7;13.8;26;51;91;18;46;64;11977;1013.5
Trieste molo F.lli Bandiera;2000;2;21;0;5.8;7.5;10.2;25;44;58;22;47;69;13318;1024.0
Trieste molo F.lli Bandiera;2000;2;22;0;3.9;5.8;7.6;26;38;52;14;40;87;12742;1026.1
Trieste molo F.lli Bandiera;2000;2;23;0;3.3;5.4;7.7;37;49;68;8;23;301;13352;1026.1
Trieste molo F.lli Bandiera;2000;2;24;0;3.2;6.1;9;45;60;69;4;11;301;12862;1029.7
Trieste molo F.lli Bandiera;2000;2;25;0;5.7;7.7;9.4;41;62;81;5;15;315;11428;1028.6
Trieste molo F.lli Bandiera;2000;2;26;0;8.5;9.5;10.8;53;72;88;3;13;105;2881;1030.7
Trieste molo F.lli Bandiera;2000;2;27;0;7.4;9.6;13.5;50;76;95;3;17;306;13221;1031.5
Trieste molo F.lli Bandiera;2000;2;28;0;6.6;8.5;11.3;61;77;89;3;9;18;13265;1032.4
Trieste molo F.lli Bandiera;2000;2;29;0;5.8;9.1;12.4;59;80;97;9;36;266;8567;1026.3
Trieste molo F.lli Bandiera;2000;3;1;22.2;8.7;10.5;12.7;56;84;94;20;69;58;864;1008.5
Trieste molo F.lli Bandiera;2000;3;2;0;8.3;10.4;13.6;25;54;92;18;46;53;12894;1012.8
Trieste molo F.lli Bandiera;2000;3;3;0;5.9;8.5;9.8;30;58;80;7;31;97;14138;1020.1
Trieste molo F.lli Bandiera;2000;3;4;0;9.2;10.3;12;50;76;90;12;62;68;1866;1014.3
Trieste molo F.lli Bandiera;2000;3;5;0;6.3;8;10.9;17;49;63;21;55;46;16544;1026.8
Trieste molo F.lli Bandiera;2000;3;6;0;5.1;7.8;9.3;42;59;75;5;18;210;13162;1034.3
Trieste molo F.lli Bandiera;2000;3;7;0;6.4;8.2;10.2;57;76;94;8;20;315;14750;1029.4
Trieste molo F.lli Bandiera;2000;3;8;0;7.5;8.8;10.1;73;88;99;4;14;323;11670;1026.8
Trieste molo F.lli Bandiera;2000;3;9;0;7.9;9.6;14;71;89;99;6;27;277;7680;1021.8
