stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Udine S.O.;2011;1;1;0;-4.1;0;5.9;69;91;99;3;9;1;3762;1005.5
Udine S.O.;2011;1;2;0;-2.6;3;7.3;56;74;99;12;41;86;2989;1002.2
Udine S.O.;2011;1;3;0;-4.2;0.6;6.8;14;58;85;5;17;72;7468;1008.1
Udine S.O.;2011;1;4;0;-5.4;-0.8;3.7;27;55;83;8;26;67;4515;1007.6
Udine S.O.;2011;1;5;0;-6.4;-1.5;2.7;38;63;81;5;19;74;3845;1007.2
Udine S.O.;2011;1;6;0.6;-0.7;0.8;2.5;52;70;99;4;16;14;1011;1007.9
Udine S.O.;2011;1;7;10.7;0.3;2.9;4.5;98;99;99;3;9;2;458;1010.7
Udine S.O.;2011;1;8;6.3;3.7;5.3;6.5;98;99;99;3;10;107;541;1009.8
Udine S.O.;2011;1;9;0.3;5.3;6.8;8;98;99;99;4;11;137;1121;1009.8
Udine S.O.;2011;1;10;56.3;6.9;8.2;9.2;98;99;99;7;26;3;566;1007.4
Udine S.O.;2011;1;11;17.9;7.1;7.8;9.2;97;99;99;7;27;0;607;1001.4
Udine S.O.;2011;1;12;0;2.6;7.6;12.4;71;95;99;3;9;19;5998;1006.3
Udine S.O.;2011;1;13;0;0.4;4.4;6;98;99;99;3;13;144;1524;1005.6
Udine S.O.;2011;1;14;0;3.3;6.4;10.1;81;95;99;4;11;213;5448;1007.6
Udine S.O.;2011;1;15;0;0.6;5.9;10.1;77;95;99;4;14;263;3806;1011.4
Udine S.O.;2011;1;16;0;0.5;4.1;8.9;95;99;99;4;16;218;6466;1016.7
Udine S.O.;2011;1;17;0;-0.5;1.5;3.6;98;99;99;3;12;184;3643;1014.5
Udine S.O.;2011;1;18;0;-1;0.5;2.2;98;99;99;3;11;264;2839;1011.6
Udine S.O.;2011;1;19;6.4;-1.2;2.5;5.4;98;99;99;5;17;42;2247;1008.5
Udine S.O.;2011;1;20;0;-1;4.3;9;34;75;99;4;16;125;5386;1006.6
Udine S.O.;2011;1;21;0;-1.3;3.2;6.3;35;53;90;9;33;98;3888;1008.3
Udine S.O.;2011;1;22;0;-0.6;2.7;6.7;31;44;59;14;34;110;8226;1006.9
Udine S.O.;2011;1;23;0;-5.9;-0.1;5.8;32;64;92;5;22;72;8727;1005.6
Udine S.O.;2011;1;24;0;-3.5;1.2;6.8;30;60;82;5;15;87;5486;1005.9
Udine S.O.;2011;1;25;0;-4.1;0.1;3.6;53;77;95;3;10;55;2696;1002.8
Udine S.O.;2011;1;26;0;-0.6;2.4;5.5;65;78;91;4;14;190;3245;997.6
Udine S.O.;2011;1;27;0;0.4;5.1;10;57;67;84;9;38;82;6297;1000.6
Udine S.O.;2011;1;28;0;1;4.9;8.2;27;44;61;25;56;87;9201;1005.1
