stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Vivaro;1999;1;1;1.2;1.3;5.6;7.4;80;87;92;8;17;346;894;1003.9
Vivaro;1999;1;2;0.2;1.2;6.4;12.3;55;80;95;8;21;120;3382;998
Vivaro;1999;1;3;0.6;0.8;6.7;10.9;78;89;95;6;17;296;4202;995
Vivaro;1999;1;4;0;-1.1;3.9;11.6;65;84;96;7;18;328;6296;1000.4
Vivaro;1999;1;5;0;-0.3;4.7;12.4;49;74;88;9;18;334;6014;1006.4
Vivaro;1999;1;6;0;-3.9;2.5;11.5;55;79;93;5;12;3;6180;1005.2
Vivaro;1999;1;7;0.2;-5.8;-0.5;4.1;87;92;97;5;15;1;1721;997.1
Vivaro;1999;1;8;0;2.9;4.5;6.2;81;91;96;5;14;94;1464;988.7
Vivaro;1999;1;9;0.2;0;5.2;9.5;65;83;96;7;20;338;3589;986.9
Vivaro;1999;1;10;2.4;-2;4.4;8.6;55;76;91;9;29;27;2646;992.8
Vivaro;1999;1;11;34;3.1;5.9;7.8;83;88;95;10;31;10;190;988.1
Vivaro;1999;1;12;0.2;0.9;3.5;6.4;67;89;97;4;11;6;4076;995.4
Vivaro;1999;1;13;1;-1.9;2.5;6.2;67;86;94;6;18;321;2345;990.2
Vivaro;1999;1;14;0.2;-3.1;1.3;7.5;44;73;86;7;19;332;5172;994.7
Vivaro;1999;1;15;0;-3.4;1.3;8.7;45;72;87;8;19;324;6951;1002
Vivaro;1999;1;16;0;-3.2;0.6;7.7;62;82;92;6;12;339;5417;1005.1
Vivaro;1999;1;17;0;-1.9;1.8;8.2;62;80;91;8;18;335;5989;1004.6
Vivaro;1999;1;18;0.2;-1.8;1.5;7.8;64;82;91;8;19;329;6170;1004.4
Vivaro;1999;1;19;0;-1.6;4.5;13.9;36;67;86;9;22;331;6238;1006.1
Vivaro;1999;1;20;0;-2.1;3.8;12.7;39;66;83;8;20;326;7876;1007.5
Vivaro;1999;1;21;0;-2.5;4.3;14.0;33;63;82;8;21;338;8124;1005.6
Vivaro;1999;1;22;0;-3.4;2.1;10.9;41;69;85;7;15;327;8109;1004.7
Vivaro;1999;1;23;0;-3.8;2.6;12.4;33;65;83;8;21;330;8253;1005
Vivaro;1999;1;24;0;-3.5;1.9;10.1;42;69;84;8;16;331;7812;1006.8
Vivaro;1999;1;25;0;-3.7;1.7;10.3;45;72;86;5;16;330;7865;1007.4
Vivaro;1999;1;26;0.2;-4.1;1.3;6.4;62;81;90;6;15;12;6356;998.4
Vivaro;1999;1;27;0.4;-2;3.1;8.3;60;80;91;8;22;69;3190;985.9
Vivaro;1999;1;28;0;-3.5;2.5;8.9;45;69;88;8;19;344;7545;986.3
Vivaro;1999;1;29;0;-3.6;2.3;11.0;11;43;80;15;47;13;8268;990.4
